Price,Room_Id,Room_Type,City,Country,Room_Lat,Room_Long,Selection,Calc_Distance
1003,19051656,Entire home/apt,New orleans,United states,29.952860923402337,-90.07131139281506,"New-orleans, United states",0.12473409318468041
74,19079967,Entire home/apt,New orleans,United states,29.987034337344596,-89.94496848089439,"New-orleans, United states",7.972730736783517
175,19123547,Entire home/apt,New orleans,United states,29.954771004938046,-90.11994216301255,"New-orleans, United states",2.90933906526539
86,19245713,Entire home/apt,New orleans,United states,29.93808917158898,-90.07359074429189,"New-orleans, United states",0.905028497323857
84,19267950,Entire home/apt,New orleans,United states,29.971855482779855,-90.06922180405711,"New-orleans, United states",1.4430713343679429
296,19291311,Entire home/apt,New orleans,United states,29.972984538974295,-90.08888651591211,"New-orleans, United states",1.836479979777561
73,19826475,Entire home/apt,New orleans,United states,29.971951208140464,-90.03793707553021,"New-orleans, United states",2.475177137052693
130,19905035,Entire home/apt,New orleans,United states,29.93437987023291,-90.08458662115602,"New-orleans, United states",1.3928419074762346
250,19962754,Entire home/apt,New orleans,United states,29.964599422632258,-90.05871597717491,"New-orleans, United states",1.2095421479026984
200,19982155,Entire home/apt,New orleans,United states,29.974925916272348,-90.08709817269644,"New-orleans, United states",1.8936650743604508
75,20055299,Private room,New orleans,United states,29.95346693500604,-90.12721068905077,"New-orleans, United states",3.337331599683669
109,20363611,Entire home/apt,New orleans,United states,29.943894719621536,-90.03870130355176,"New-orleans, United states",2.0270212588040453
125,20500764,Entire home/apt,New orleans,United states,29.965273097738862,-90.0598982550124,"New-orleans, United states",1.2035853247207156
80,20793414,Entire home/apt,New orleans,United states,29.951575951595856,-90.0680182924057,"New-orleans, United states",0.21330177337576398
200,20810996,Entire home/apt,New orleans,United states,29.942607102967557,-90.04956092070103,"New-orleans, United states",1.4393872795483609
80,20828471,Entire home/apt,New orleans,United states,29.987014203087593,-90.07351447438458,"New-orleans, United states",2.4866267608373813
100,20996895,Entire home/apt,New orleans,United states,29.91856449141886,-90.1000555207731,"New-orleans, United states",2.821273238958419
99,21134055,Entire home/apt,New orleans,United states,29.942308399098735,-90.06923431504312,"New-orleans, United states",0.6205214479811983
150,21148897,Entire home/apt,New orleans,United states,29.954688525819865,-90.05197376488603,"New-orleans, United states",1.197327143310853
115,21276933,Entire home/apt,New orleans,United states,29.9220704128532,-90.11691172059957,"New-orleans, United states",3.3758113931499065
82,21335553,Entire home/apt,New orleans,United states,29.94004919002642,-90.13329801970171,"New-orleans, United states",3.775402716162718
400,21472438,Entire home/apt,New orleans,United states,29.932277463287495,-90.08592704510492,"New-orleans, United states",1.55818960282745
99,21644754,Entire home/apt,New orleans,United states,29.921338251519295,-90.08353262082707,"New-orleans, United states",2.176024841216383
1000,21651825,Entire home/apt,New orleans,United states,29.91511328072357,-89.99253704312711,"New-orleans, United states",5.342606758844695
70,21754452,Private room,New orleans,United states,29.930922419057197,-90.09351613721115,"New-orleans, United states",1.915584767430192
70,21938042,Private room,New orleans,United states,29.943018648245122,-90.11040386350662,"New-orleans, United states",2.3926793666536117
232,21963008,Entire home/apt,New orleans,United states,29.95095051203267,-90.07285087087037,"New-orleans, United states",0.07933857671625724
1350,22125175,Entire home/apt,New orleans,United states,29.94914663076914,-90.06753599483545,"New-orleans, United states",0.2735353199716902
90,22172297,Entire home/apt,New orleans,United states,29.95380634584867,-90.07286501248598,"New-orleans, United states",0.20547523288299618
114,22265872,Entire home/apt,New orleans,United states,29.918962377885748,-90.09449029923812,"New-orleans, United states",2.6095419484310964
65,22434342,Entire home/apt,New orleans,United states,29.979185081936954,-90.08064984856107,"New-orleans, United states",2.018051649904292
50,22507194,Private room,New orleans,United states,29.940708948399404,-90.0490732263401,"New-orleans, United states",1.523165793668129
225,22532023,Entire home/apt,New orleans,United states,29.936305437435777,-90.08333622703798,"New-orleans, United states",1.2407713957483006
92,22586769,Entire home/apt,New orleans,United states,29.927262108077237,-90.06790251854413,"New-orleans, United states",1.6589728425602992
95,22639065,Private room,New orleans,United states,30.02602247811368,-90.01963939114829,"New-orleans, United states",6.038703256897555
75,22654429,Private room,New orleans,United states,29.952597970461834,-90.11241990764637,"New-orleans, United states",2.45004921610854
120,22702420,Entire home/apt,New orleans,United states,29.971535274070852,-90.06403924716581,"New-orleans, United states",1.4837244135303207
165,22826336,Entire home/apt,New orleans,United states,29.95481744177011,-90.07246907676978,"New-orleans, United states",0.2652104195214657
70,22869975,Private room,New orleans,United states,29.966453274657894,-90.08167360323176,"New-orleans, United states",1.2242841880353048
94,22890371,Entire home/apt,New orleans,United states,30.009158986004667,-90.04788989143182,"New-orleans, United states",4.255951940572128
71,22910502,Entire home/apt,New orleans,United states,29.970230809603674,-90.08230109936177,"New-orleans, United states",1.472744669187581
650,22952483,Entire home/apt,New orleans,United states,29.968016759310363,-90.06837970442723,"New-orleans, United states",1.1863049330538444
300,23022893,Entire home/apt,New orleans,United states,29.920401959294892,-90.08938735501236,"New-orleans, United states",2.3731147160383324
70,23026523,Private room,New orleans,United states,29.921850034364635,-90.08074271034168,"New-orleans, United states",2.0925882386818797
70,23132438,Entire home/apt,New orleans,United states,29.96989321370255,-90.05979836591334,"New-orleans, United states",1.4783673292830544
150,23437411,Entire home/apt,New orleans,United states,29.948666215409013,-90.10674274983369,"New-orleans, United states",2.114446384306628
195,23693847,Entire home/apt,New orleans,United states,29.95074496869807,-90.07076538506861,"New-orleans, United states",0.05098356456692054
213,23747749,Entire home/apt,New orleans,United states,29.95196302240908,-90.07351933778803,"New-orleans, United states",0.13413966345000533
99,23789086,Private room,New orleans,United states,29.953566444479158,-90.04988732683668,"New-orleans, United states",1.307251173964281
75,23896969,Private room,New orleans,United states,29.96827335556603,-90.07239331084159,"New-orleans, United states",1.1900438973969505
125,23972735,Entire home/apt,New orleans,United states,30.016902423776532,-90.04584108527526,"New-orleans, United states",4.80168771861571
100,24009073,Entire home/apt,New orleans,United states,29.984908258162346,-90.07168161583199,"New-orleans, United states",2.338305091105232
47,24056664,Private room,New orleans,United states,30.017900430191407,-90.07980303498654,"New-orleans, United states",4.644278261860887
315,24084923,Entire home/apt,New orleans,United states,29.964152281849387,-90.06566164193778,"New-orleans, United states",0.9700824834634845
95,24156700,Entire home/apt,New orleans,United states,30.011143659165796,-90.03366584628678,"New-orleans, United states",4.729315620036595
69,24238271,Entire home/apt,New orleans,United states,29.95513262435802,-90.07486863496219,"New-orleans, United states",0.3447424370002766
93,24284341,Entire home/apt,New orleans,United states,29.91790224975718,-90.10098739473487,"New-orleans, United states",2.8915219302353554
175,24431527,Entire home/apt,New orleans,United states,29.9698306048462,-90.10476726767055,"New-orleans, United states",2.3746404921363413
250,24544495,Entire home/apt,New orleans,United states,30.040135436613152,-89.94449175052684,"New-orleans, United states",9.780780407525038
55,24582536,Private room,New orleans,United states,29.94247477570772,-90.1261717398774,"New-orleans, United states",3.3246080830343114
120,24756994,Entire home/apt,New orleans,United states,29.95164959814229,-90.06579923497043,"New-orleans, United states",0.34557716327779553
92,25168103,Entire home/apt,New orleans,United states,29.9770351829856,-90.07313837608214,"New-orleans, United states",1.4790979555463186
115,25235941,Entire home/apt,New orleans,United states,29.935694610936196,-90.08028203312087,"New-orleans, United states",1.1842146805316978
65,25535496,Private room,New orleans,United states,29.956217971763927,-90.01970682926148,"New-orleans, United states",3.12286206975664
700,25545215,Entire home/apt,New orleans,United states,30.01247409764132,-90.08337544901914,"New-orleans, United states",4.3016978898184135
76,26003698,Entire home/apt,New orleans,United states,29.99450968140106,-90.06690251243378,"New-orleans, United states",3.0144459791105302
189,26201233,Entire home/apt,New orleans,United states,29.952605187724814,-90.07136462818934,"New-orleans, United states",0.10683402202417526
70,26358236,Entire home/apt,New orleans,United states,29.920114369091547,-90.10654370884352,"New-orleans, United states",2.9946459287018645
150,26382180,Entire home/apt,New orleans,United states,30.018185373679906,-90.02218900113738,"New-orleans, United states",5.497881198192392
1066,26537297,Entire home/apt,New orleans,United states,29.950494607933397,-90.07215693085321,"New-orleans, United states",0.05436785558779977
1066,26538574,Entire home/apt,New orleans,United states,29.95228435615451,-90.07322049753144,"New-orleans, United states",0.13154012105331622
111,26668421,Entire home/apt,New orleans,United states,29.98636796688275,-90.06501734557332,"New-orleans, United states",2.4701192977482767
620,27196731,Entire home/apt,New orleans,United states,29.9702537642899,-90.06620309968957,"New-orleans, United states",1.3636004049919863
225,27373978,Entire home/apt,New orleans,United states,30.045914827947467,-89.98403061842828,"New-orleans, United states",8.388202481903958
195,27572890,Entire home/apt,New orleans,United states,29.916085453927753,-90.1039217466623,"New-orleans, United states",3.0988062832708314
400,27726244,Private room,New orleans,United states,29.97596914438265,-90.11017656242517,"New-orleans, United states",2.8829673587991547
105,27809935,Entire home/apt,New orleans,United states,29.954699691799846,-90.07280987387254,"New-orleans, United states",0.26246805716209465
125,27927714,Entire home/apt,New orleans,United states,29.98084888204461,-90.07764439464363,"New-orleans, United states",2.0900810820942617
250,28009272,Entire home/apt,New orleans,United states,29.998183285138992,-90.11456713624942,"New-orleans, United states",4.151218384769072
69,28013914,Private room,New orleans,United states,29.96860346811593,-90.03544185926629,"New-orleans, United states",2.47702240147989
100,28153695,Entire home/apt,New orleans,United states,29.966538362911873,-90.06214878026559,"New-orleans, United states",1.2076375845517213
115,28713789,Entire home/apt,New orleans,United states,29.94124291963522,-90.06882645397823,"New-orleans, United states",0.697760967825116
200,28826629,Entire home/apt,New orleans,United states,29.95415263409893,-90.04605428519301,"New-orleans, United states",1.5400842459301145
70,28864944,Entire home/apt,New orleans,United states,29.970737411986523,-90.0940248078399,"New-orleans, United states",1.913156473942822
